term	definition
Abbreviated new drug application (ANDA)	A submission to the US Food and Drug Administration (FDA) for the review and potential approval of a generic drug product. Once an ANDA has been approved, applicants can manufacture and market a generic product. Applications are “abbreviated” as they do not need to include the detailed evidence required for a new drug application (NDA). Rather, applicants must demonstrate their product is bioequivalent to a licensed drug (i.e. it has the same properties and acts in the same way as a licensed drug).
Absorption, distribution, metabolism, elimination (ADME)	The key factors affecting the concentration and distribution of a drug within the body and the time it spends in the body. Drug activity depends on engagement between a drug and its molecular target. How a drug is absorbed, distributed across different tissues (or ‘compartments’), metabolized and eliminated (e.g. excreted) will all affect its ability to access its target site and have a biological effect. ADME are the core elements of pharmacokinetics.
Acinetobacter	Acinetobacter baumannii is a Gram-negative non-glucose-fermenting opportunistic bacterium typically a cause of hospital-acquired infections. A. baumannii can cause a wide range of infections, including pneumonia, bloodstream infections, skin and soft tissue infections. It has evolved several properties that enable it to thrive and spread in healthcare settings, particularly high adherence to surfaces and the ability to survive in harsh environmental conditions. A. baumannii is highly adept at acquiring new antibiotic resistance genes. Over recent decades, it has acquired resistance to multiple antibiotics, including carbapenems. It is one of the ‘ESKAPE’ pathogens, the most common multidrug-resistant bacteria, and is categorized by WHO as a ‘priority 1 (critical)’ pathogen for R&D of new antibiotics.
Active pharmaceutical ingredient (API)	The chemical component of a drug treatment that is biologically active. In addition to an API, drug formulations may include a range of other biologically inactive materials, for example, to promote stability or to facilitate the manufacture of tablets or liquid medicines.
Adaptive trial	A clinical trial that can be modified mid-way through based on preliminary analysis of results. Adaptive trials are efficient ways of testing more than one drug at a time, or different doses of a drug. If initial data suggest that a treatment is not working, or is inferior to a comparator, recruitment into that treatment arm can be halted. Adaptive trials were pioneered in oncology but are increasingly being used in other areas of medicine.
Aerobic bacteria	Bacteria that can survive and grow in an oxygenated environment. Aerobic infections are the most common causes of infections in humans, animals and plants. An anaerobic organism does not require oxygen for growth.
Ames test	A method for evaluating the mutagenic effects of a compound or drug, used as part of toxicity testing. The test chemical is applied to a bacterial strain that has a mutation which renders it dependent on histidine for growth, along with a rat liver extract (to explore the potential for enzymatic processing of the chemical into a mutagenic form). After culture, the number of colonies that can grow in the absence of histidine, due to reversion of the mutation, provides a measure of the mutagenic potential of the chemical. There is a reasonable degree of correlation between mutagenicity as judged by the Ames essay and carcinogenicity in animal models. However, it is a screening tool with limited predictability when used without other assays.
Anaerobic bacteria	"Bacteria that do not require oxygen for growth. A facultative anaerobic organism can grow without oxygen when necessary but uses oxygen when it is present. Obligate anaerobic organisms cannot use oxygen for growth; they are tolerant to oxygen to varying degrees. Anaerobic bacteria can cause infections at multiple sites in the body, but aerobic bacteria cause infections more often at different body sites. Anaerobic bacteria are major components of the microbial flora of multiple mucosal sites in the body, particularly the gastrointestinal tract, causing disease when mucosal barriers are breached. They are typically harder to culture and the cause of infections can be difficult to identify. Patients undergoing abdominal surgery often receive anti-anaerobe drugs to prevent peritoneal infections."
Antibiotic, antibacterial and antimicrobial	Antibiotic: A compound that inhibits the growth or kills bacteria. In recent years, ‘antibiotic’ has become synonymous with ‘antibacterial’. Antibacterial: A drug, chemical or other substance that kills bacteria (bactericidal) or stops their growth (bacteriostatic). Antimicrobial: A drug, chemical or other substance that kills, inactivates or slows the growth of microbes, including bacteria, viruses, fungi and parasites.
Antimicrobial resistance (AMR)	Lack of susceptibility of bacteria, fungi, viruses and parasites to antimicrobial agents.
Antimicrobial susceptibility testing (AST), resistance testing	Assessing the concentration of a drug, chemical or other substance required to inhibit microbial growth or to kill a microbe. Through bodies such as the European Committee on Antimicrobial Susceptibility Testing (EUCAST) and the Clinical and Laboratory Standards Institute (CLSI), internationally agreed standards have been developed to guide rigorous assessment of antimicrobial susceptibility.
Antiseptic	Noun: A substance that is applied to living tissue/skin to prevent the growth of disease-causing microorganisms. Adjective: Having antibacterial properties.
APACHE II score	The Acute Physiology and Chronic Health Evaluation (APACHE) score is the most widely used intensive care unit (ICU) mortality prediction score. The APACHE II score is made up of 12 physiological and two disease-related variables collected within the first 24 hours of ICU admission. Updated APACHE scoring systems have been developed but APACHE II remains the most used.
Bacterial efflux	Bacterial efflux describes a process where molecules are pumped from inside bacterial cells to outside. This is done by molecular machines called efflux pumps. These are found in the membrane of bacterial cells and they are very important because they contribute to antimicrobial resistance. Many antibiotics work by getting inside bacterial cells where they interact with a specific target. Efflux pumps are able to physically pump those antibiotic molecules back out of the cell again which keeps the intracellular concentration below toxic levels meaning bacteria can survive at higher concentrations of the drug.
Bacterial target	A molecule in the bacterial cell that has a critical cellular function and can be altered or inhibited by an antimicrobial to negatively impact its’s growth or survival.
Bactericidal	Having the capacity to kill bacteria. Bactericidal capacity is dependent on the concentration and duration of exposure to the antibiotic. The minimal inhibitory concentration (MIC) is the minimum concentration required to achieve (bacteriostatic) activity. The minimal bactericidal concentration (MBC) is the concentration required to achieve bactericidal activity.
Bacteriophage	"Viruses that infect and kill bacteria and have been identified as a possible alternative or complement to antibiotic treatment. Phage therapy is used in a small number of countries, and whilst single patient success has been reported, development of these treatments is challenging; multiple clinical trials are ongoing."
Bacteriostatic	Having the capacity to stop the growth of bacteria. When a bacteriostatic compound is removed, bacterial growth resumes either immediately or after a certain time. Some compounds may be bacteriostatic at low concentrations but kill bacteria (bactericidal) at higher concentrations.
