strain	Molecule ChEMBL ID	NAME	Molecule Max Phase	Molecular Weight	#RO5 Violations	AlogP	Compound Key	Smiles	Standard Type	Standard Relation	Standard Value	Standard Units	pIC50	pChEMBL Value	Data Validity Comment	Comment	Uo Units	Ligand Efficiency BEI	Ligand Efficiency LE	Ligand Efficiency LLE	Ligand Efficiency SEI	Potential Duplicate	Assay ChEMBL ID	Assay Description	Assay Type	BAO Format ID	BAO Label	Assay Organism	Assay Tissue ChEMBL ID	Assay Tissue Name	Assay Cell Type	Assay Subcellular Fraction	Assay Parameters	Assay Variant Accession	Assay Variant Mutation	Target ChEMBL ID	Target Name	Target Organism	Target Type	Document ChEMBL ID	Source ID	Source Description	Document Journal	Document Year	Cell ChEMBL ID	Properties
Acinetobacter baumannii	CHEMBL4577207	CHEMBL4577207	0	720,36	None	None	CF-0282		MIC	'='	44,4	nM	7,4		Non standard unit for type	Median N= 2	UO_0000274					FALSE	CHEMBL4296188	"Antibacterial activity against Acinetobacter baumannii ATCC 19606 (CO-ADD:GN_034); MIC in CAMBH media using NBS plates, by OD600"	F	BAO_0000218	organism-based format	Acinetobacter baumannii	None	None	None	None	"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr"			CHEMBL614425	Acinetobacter baumannii	Acinetobacter baumannii	ORGANISM	CHEMBL4513150	40	CO-ADD antimicrobial screening data			None	
Acinetobacter baumannii	CHEMBL4593349	CHEMBL4593349	0	692,31	None	None	CF-0201		MIC	'='	46,2	nM	7,3		Non standard unit for type	"Median N= 2; Range >32 - 32  Ug.Ml-1"	UO_0000274					FALSE	CHEMBL4296188	"Antibacterial activity against Acinetobacter baumannii ATCC 19606 (CO-ADD:GN_034); MIC in CAMBH media using NBS plates, by OD600"	F	BAO_0000218	organism-based format	Acinetobacter baumannii	None	None	None	None	"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr"			CHEMBL614425	Acinetobacter baumannii	Acinetobacter baumannii	ORGANISM	CHEMBL4513150	40	CO-ADD antimicrobial screening data			None	
Acinetobacter baumannii	CHEMBL4558902	CHEMBL4558902	0	543,02	1	3,85	N41	Cl.O=C(Nc1ccc(-c2n[nH]c(=S)o2)cc1)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O	MIC	'='	58,9	nM	7,2		Non standard unit for type	Median N= 2	UO_0000274					FALSE	CHEMBL4296188	"Antibacterial activity against Acinetobacter baumannii ATCC 19606 (CO-ADD:GN_034); MIC in CAMBH media using NBS plates, by OD600"	F	BAO_0000218	organism-based format	Acinetobacter baumannii	None	None	None	None	"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr"			CHEMBL614425	Acinetobacter baumannii	Acinetobacter baumannii	ORGANISM	CHEMBL4513138	40	CO-ADD antimicrobial screening data			None	
Acinetobacter baumannii	CHEMBL4518084	CHEMBL4518084	0	573,05	1	3,81	N42	CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)Nc4ccc(-c5n[nH]c(=S)o5)cc4)cn1c23.Cl	MIC	'='	0,9	nM	9,1		Non standard unit for type	Median N= 2	UO_0000274					FALSE	CHEMBL4296188	"Antibacterial activity against Acinetobacter baumannii ATCC 19606 (CO-ADD:GN_034); MIC in CAMBH media using NBS plates, by OD600"	F	BAO_0000218	organism-based format	Acinetobacter baumannii	None	None	None	None	"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr"			CHEMBL614425	Acinetobacter baumannii	Acinetobacter baumannii	ORGANISM	CHEMBL4513138	40	CO-ADD antimicrobial screening data			None	
Acinetobacter baumannii	CHEMBL1467058	NC00298	0	785,89	3	6,16	SAM001246597	CO[C@H]1C=CO[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)C(C)=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C	MIC	'='	10000,0	nM	5,0			Median N= 2	UO_0000065					FALSE	CHEMBL4296188	"Antibacterial activity against Acinetobacter baumannii ATCC 19606 (CO-ADD:GN_034); MIC in CAMBH media using NBS plates, by OD600"	F	BAO_0000218	organism-based format	Acinetobacter baumannii	None	None	None	None	"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr"			CHEMBL614425	Acinetobacter baumannii	Acinetobacter baumannii	ORGANISM	CHEMBL4513141	40	CO-ADD antimicrobial screening data			None	
Acinetobacter baumannii	CHEMBL1200820	PIPERACILLIN	4	539,55	1	-0,24	SAM002264643	CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H](C(=O)[O-])C(C)(C)S[C@H]23)c2ccccc2)C(=O)C1=O.[Na+]	MIC	'='	10000,0	nM	5,0			Median N= 2	UO_0000065					FALSE	CHEMBL4296188	"Antibacterial activity against Acinetobacter baumannii ATCC 19606 (CO-ADD:GN_034); MIC in CAMBH media using NBS plates, by OD600"	F	BAO_0000218	organism-based format	Acinetobacter baumannii	None	None	None	None	"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr"			CHEMBL614425	Acinetobacter baumannii	Acinetobacter baumannii	ORGANISM	CHEMBL4513141	40	CO-ADD antimicrobial screening data			None	
Acinetobacter baumannii	CHEMBL1747	TOBRAMYCIN	4	467,52	2	-6,3	MMV002459	NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O	MIC	'='	2500,0	nM	5,6			Median N= 2	UO_0000065					FALSE	CHEMBL4296188	"Antibacterial activity against Acinetobacter baumannii ATCC 19606 (CO-ADD:GN_034); MIC in CAMBH media using NBS plates, by OD600"	F	BAO_0000218	organism-based format	Acinetobacter baumannii	None	None	None	None	"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr"			CHEMBL614425	Acinetobacter baumannii	Acinetobacter baumannii	ORGANISM	CHEMBL4513161	40	CO-ADD antimicrobial screening data			None	
Acinetobacter baumannii	CHEMBL104270	TOSUFLOXACIN	0	576,55	0	2,04	SAM001246686	Cc1ccc(S(=O)(=O)O)cc1.NC1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)C1	MIC	'='	625,0	nM	6,2			Median N= 2	UO_0000065					FALSE	CHEMBL4296188	"Antibacterial activity against Acinetobacter baumannii ATCC 19606 (CO-ADD:GN_034); MIC in CAMBH media using NBS plates, by OD600"	F	BAO_0000218	organism-based format	Acinetobacter baumannii	None	None	None	None	"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr"			CHEMBL614425	Acinetobacter baumannii	Acinetobacter baumannii	ORGANISM	CHEMBL4513141	40	CO-ADD antimicrobial screening data			None	
Acinetobacter baumannii	CHEMBL9	NORFLOXACIN	4	319,34	0	1,27	Norfloxacin	CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21	MIC	'='	5000,0	nM	5,3			Median N= 2	UO_0000065					FALSE	CHEMBL4296188	"Antibacterial activity against Acinetobacter baumannii ATCC 19606 (CO-ADD:GN_034); MIC in CAMBH media using NBS plates, by OD600"	F	BAO_0000218	organism-based format	Acinetobacter baumannii	None	None	None	None	"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr"			CHEMBL614425	Acinetobacter baumannii	Acinetobacter baumannii	ORGANISM	CHEMBL4513141	40	CO-ADD antimicrobial screening data			None	
Acinetobacter baumannii	CHEMBL108821	SITAFLOXACIN	2	409,82	0	2,7	MMV1579850	N[C@@H]1CN(c2c(F)cc3c(=O)c(C(=O)O)cn([C@@H]4C[C@@H]4F)c3c2Cl)CC12CC2	MIC	'='	5000,0	nM	5,3			Median N= 2	UO_0000065					FALSE	CHEMBL4296188	"Antibacterial activity against Acinetobacter baumannii ATCC 19606 (CO-ADD:GN_034); MIC in CAMBH media using NBS plates, by OD600"	F	BAO_0000218	organism-based format	Acinetobacter baumannii	None	None	None	None	"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr"			CHEMBL614425	Acinetobacter baumannii	Acinetobacter baumannii	ORGANISM	CHEMBL4513161	40	CO-ADD antimicrobial screening data			None	
Acinetobacter baumannii	CHEMBL1788168	CHEMBL1788168	0	476,19	1	4,53	MMV688179	Cl.Cl.N=C(N)Nc1ccc(-c2ccc(-c3ccc(NC(=N)N)cc3Cl)o2)c(Cl)c1	MIC	'='	5000,0	nM	5,3			Median N= 2	UO_0000065					FALSE	CHEMBL4296188	"Antibacterial activity against Acinetobacter baumannii ATCC 19606 (CO-ADD:GN_034); MIC in CAMBH media using NBS plates, by OD600"	F	BAO_0000218	organism-based format	Acinetobacter baumannii	None	None	None	None	"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr"			CHEMBL614425	Acinetobacter baumannii	Acinetobacter baumannii	ORGANISM	CHEMBL4513149	40	CO-ADD antimicrobial screening data			None	
Acinetobacter baumannii	CHEMBL240163	PAZUFLOXACIN	3	318,3	0	1,74	SAM001246742	C[C@H]1COc2c(C3(N)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23	MIC	'='	2500,0	nM	5,6			Median N= 2	UO_0000065					FALSE	CHEMBL4296188	"Antibacterial activity against Acinetobacter baumannii ATCC 19606 (CO-ADD:GN_034); MIC in CAMBH media using NBS plates, by OD600"	F	BAO_0000218	organism-based format	Acinetobacter baumannii	None	None	None	None	"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr"			CHEMBL614425	Acinetobacter baumannii	Acinetobacter baumannii	ORGANISM	CHEMBL4513141	40	CO-ADD antimicrobial screening data			None	
Acinetobacter baumannii	CHEMBL4583215	CHEMBL4583215	0	1621,05	3	3,68	MMV1634402	N=C(N)NCCCCC(=O)Nc1cc(C(F)(F)F)cc(NC(=O)c2cc(C(=O)Nc3cc(C(F)(F)F)cc(NC(=O)CCCCNC(=N)N)c3O[C@@H]3CCNC3)ncn2)c1O[C@@H]1CCNC1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F	MIC	'='	5000,0	nM	5,3			Median N= 2	UO_0000065					FALSE	CHEMBL4296188	"Antibacterial activity against Acinetobacter baumannii ATCC 19606 (CO-ADD:GN_034); MIC in CAMBH media using NBS plates, by OD600"	F	BAO_0000218	organism-based format	Acinetobacter baumannii	None	None	None	None	"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr"			CHEMBL614425	Acinetobacter baumannii	Acinetobacter baumannii	ORGANISM	CHEMBL4513161	40	CO-ADD antimicrobial screening data			None	
Acinetobacter baumannii	CHEMBL15511	ENROFLOXACIN	0	359,4	0	2,32	SAM001246856	CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1	MIC	'='	5000,0	nM	5,3			Median N= 2	UO_0000065					FALSE	CHEMBL4296188	"Antibacterial activity against Acinetobacter baumannii ATCC 19606 (CO-ADD:GN_034); MIC in CAMBH media using NBS plates, by OD600"	F	BAO_0000218	organism-based format	Acinetobacter baumannii	None	None	None	None	"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr"			CHEMBL614425	Acinetobacter baumannii	Acinetobacter baumannii	ORGANISM	CHEMBL4513141	40	CO-ADD antimicrobial screening data			None	
